,area_name_en,zone_index,rooms_en,weighted_score
705,Jabal Ali Industrial Third,29,4 B/R,0.053398867
707,Jabal Ali Industrial Third,29,Studio,0.000669131
708,Jabal Ali Third,143,1 B/R,0.010352237
709,Jabal Ali Third,143,2 B/R,0.019956187
710,Jabal Ali Third,143,3 B/R,0.017014421
711,Jumeirah First,216,1 B/R,0.03994492
712,Jumeirah First,216,2 B/R,0.013022734
713,Jumeirah First,216,3 B/R,0.199410426
714,Jumeirah First,216,4 B/R,0.029707061
715,Jumeirah First,216,5 B/R,0.073699635
722,Jumeirah First,216,Studio,0.001776503
723,Jumeirah Second,203,1 B/R,0.042339465
724,Jumeirah Second,203,2 B/R,0.012207721
725,Jumeirah Second,203,3 B/R,0.069388246
726,Jumeirah Second,203,4 B/R,0.032760823
727,Jumeirah Second,203,5 B/R,0.033540984
730,Jumeirah Second,203,Studio,0.003621736
731,Jumeirah Third,87,1 B/R,0.042976572
732,Jumeirah Third,87,2 B/R,0.026304625
733,Jumeirah Third,87,3 B/R,0.144987127
734,Jumeirah Third,87,4 B/R,0.058254661
735,Jumeirah Third,87,5 B/R,0.103957015
740,Jumeirah Third,87,Studio,0.002394628
741,Le Hemaira,120,1 B/R,0.015182115
742,Lehbab First,41,1 B/R,0.043754368
743,Lehbab First,41,2 B/R,0.058098287
744,Lehbab First,41,3 B/R,0.02845855
745,Lehbab First,41,4 B/R,0.004675348
749,Lehbab First,41,Studio,0.001442618
750,Lehbab Second,45,1 B/R,0.017231772
751,Lehbab Second,45,2 B/R,0.02245356
752,Lehbab Second,45,3 B/R,0.018727976
753,Lehbab Second,45,4 B/R,0.007192192
754,Lehbab Second,45,Studio,0.000231019
755,Madinat Al Mataar,110,1 B/R,0.054629927
756,Madinat Al Mataar,110,2 B/R,0.016616748
757,Madinat Al Mataar,110,3 B/R,0.708867883
758,Madinat Al Mataar,110,4 B/R,0.034284447
759,Madinat Al Mataar,110,5 B/R,0.067746103
766,Madinat Al Mataar,110,Studio,0.003521429
767,Mankhool,46,1 B/R,0.037950381
768,Mankhool,46,2 B/R,0.170274507
769,Mankhool,46,3 B/R,0.174050603
770,Mankhool,46,4 B/R,0.069282689
771,Mankhool,46,5 B/R,0.057349009
776,Mankhool,46,Studio,0.001940845
777,Margham,189,1 B/R,0.01472094
778,Margham,189,2 B/R,0.020393081
779,Margham,189,3 B/R,0.075677955
781,Margham,189,Studio,0.001858577
782,Marsa Dubai,103,1 B/R,0.047262514
783,Marsa Dubai,103,2 B/R,0.039727312
784,Marsa Dubai,103,3 B/R,0.13423941
785,Marsa Dubai,103,4 B/R,0.032658968
786,Marsa Dubai,103,5 B/R,0.058722506
795,Marsa Dubai,103,Studio,0.002843448
796,Me'Aisem First,156,1 B/R,0.041282295
797,Me'Aisem First,156,2 B/R,0.021342218
798,Me'Aisem First,156,3 B/R,0.126660986
799,Me'Aisem First,156,4 B/R,0.030213172
800,Me'Aisem First,156,5 B/R,0.086618019
808,Me'Aisem First,156,Studio,0.002695457
809,Me'Aisem Second,157,1 B/R,0.027634361
810,Me'Aisem Second,157,2 B/R,0.011826099
811,Me'Aisem Second,157,3 B/R,0.165343901
812,Me'Aisem Second,157,4 B/R,0.038127513
813,Me'Aisem Second,157,5 B/R,0.020723017
818,Me'Aisem Second,157,Studio,0.002145733
819,Mena Jabal Ali,5,1 B/R,0.028303271
820,Mena Jabal Ali,5,2 B/R,0.022178689
821,Mena Jabal Ali,5,3 B/R,0.037930151
822,Mena Jabal Ali,5,4 B/R,0.034991879
823,Mena Jabal Ali,5,5 B/R,0.039032884
825,Mena Jabal Ali,5,Studio,0.001933206
826,Mirdif,35,1 B/R,0.034194208
827,Mirdif,35,2 B/R,0.016967959
828,Mirdif,35,3 B/R,0.134574893
829,Mirdif,35,4 B/R,0.031318113
830,Mirdif,35,5 B/R,0.068539595
836,Mirdif,35,Studio,0.002091591
837,Mugatrah,124,1 B/R,0.016525518
838,Mugatrah,124,Studio,0.002745299
839,Muhaisanah Fourth,80,1 B/R,0.019192644
840,Muhaisanah Fourth,80,2 B/R,0.016372785
841,Muhaisanah Fourth,80,3 B/R,0.079107231
842,Muhaisanah Fourth,80,4 B/R,0.032800856
846,Muhaisanah Fourth,80,Studio,0.001541932
847,Muhaisanah Second,197,1 B/R,0.026442947
848,Muhaisanah Second,197,2 B/R,0.014174454
849,Muhaisanah Second,197,3 B/R,0.012014686
850,Muhaisanah Second,197,4 B/R,0.067249472
852,Muhaisanah Second,197,Studio,0.00619597
853,Muhaisanah Third,176,1 B/R,0.043026799
854,Muhaisanah Third,176,2 B/R,0.015426174
855,Muhaisanah Third,176,3 B/R,0.061861935
856,Muhaisanah Third,176,4 B/R,0.057722486
857,Muhaisanah Third,176,5 B/R,0.064790548
861,Muhaisanah Third,176,Studio,0.002570586
862,Nadd Hessa,61,1 B/R,0.042977507
863,Nadd Hessa,61,2 B/R,0.122876939
864,Nadd Hessa,61,3 B/R,0.115392265
865,Nadd Hessa,61,4 B/R,0.030459463
866,Nadd Hessa,61,5 B/R,0.085510261
875,Nadd Hessa,61,Studio,0.001985802
876,Naif,44,1 B/R,0.037353768
877,Naif,44,2 B/R,0.011688382
878,Naif,44,3 B/R,0.152702004
879,Naif,44,4 B/R,0.032420268
880,Naif,44,5 B/R,0.036757171
883,Naif,44,Studio,0.001741463
884,Nazwah,150,1 B/R,0.004955694
885,Nazwah,150,2 B/R,0.014953202
886,Nazwah,150,4 B/R,0.032212324
889,Nazwah,150,Studio,0.004642542
890,Oud Metha,130,1 B/R,0.060284622
891,Oud Metha,130,2 B/R,0.017449711
892,Oud Metha,130,3 B/R,0.023591169
893,Oud Metha,130,4 B/R,0.039280439
894,Oud Metha,130,5 B/R,0.033902336
897,Oud Metha,130,Studio,0.002148837
898,Palm Jabal Ali,222,1 B/R,0.040111111
899,Palm Jabal Ali,222,2 B/R,0.01233883
900,Palm Jabal Ali,222,3 B/R,0.086578879
901,Palm Jabal Ali,222,4 B/R,0.086447192
902,Palm Jabal Ali,222,5 B/R,0.020661891
906,Palm Jabal Ali,222,Studio,0.002201221
907,Port Saeed,148,1 B/R,0.047828611
908,Port Saeed,148,2 B/R,0.012727848
909,Port Saeed,148,3 B/R,0.145289933
910,Port Saeed,148,4 B/R,0.046889118
911,Port Saeed,148,5 B/R,0.03208181
916,Port Saeed,148,Studio,0.002252322
917,Ras Al Khor,161,1 B/R,0.054697532
918,Ras Al Khor,161,2 B/R,0.018512482
919,Ras Al Khor,161,3 B/R,0.070640874
920,Ras Al Khor,161,4 B/R,0.043393562
923,Ras Al Khor,161,Studio,0.000634902
924,Remah,17,1 B/R,0
925,Saih Shuaib 1,96,1 B/R,0.04151374
926,Saih Shuaib 1,96,2 B/R,0.01569883
927,Saih Shuaib 1,96,3 B/R,0.073207651
928,Saih Shuaib 1,96,4 B/R,0.02989292
929,Saih Shuaib 1,96,5 B/R,0.030545695
936,Saih Shuaib 1,96,Studio,0.00217211
937,Saih Shuaib 2,12,1 B/R,0.040506474
938,Saih Shuaib 2,12,2 B/R,0.014648331
939,Saih Shuaib 2,12,3 B/R,0.091502638
940,Saih Shuaib 2,12,4 B/R,0.023019682
941,Saih Shuaib 2,12,5 B/R,0.048201346
946,Saih Shuaib 2,12,Studio,0.001842203
947,Saih Shuaib 3,65,1 B/R,0.030292155
948,Saih Shuaib 3,65,2 B/R,0.012236202
949,Saih Shuaib 3,65,3 B/R,0.028704654
950,Saih Shuaib 3,65,4 B/R,0.016749989
951,Saih Shuaib 3,65,5 B/R,0.031732925
955,Saih Shuaib 3,65,Studio,0.002640481
956,Saih Shuaib 4,179,1 B/R,0.030951169
